a0,a1,beta,epsilondelta
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00870383,0.0184525,0.988735,0.0249839,0.225912
0.00936221,0.0138908,1.0296,0.0410295,0.190462
0.00936221,0.0138908,1.0296,0.0410295,0.190462
0.00936221,0.0138908,1.0296,0.0410295,0.190462
0.00936221,0.0138908,1.0296,0.0410295,0.190462
0.00936221,0.0138908,1.0296,0.0410295,0.190462
0.00936221,0.0138908,1.0296,0.0410295,0.190462
0.00936221,0.0138908,1.0296,0.0410295,0.190462
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
0.0144412,0.0120796,0.968647,0.0207024,0.181474
