a0,a1,beta
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00856471,0.0328356,0.544642,0.0308698
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00287467,0.0453904,0.893675,0.022992
0.00851544,0.0330368,0.740384,0.0326987
0.00851544,0.0330368,0.740384,0.0326987
0.00851544,0.0330368,0.740384,0.0326987
0.00851544,0.0330368,0.740384,0.0326987
0.00851544,0.0330368,0.740384,0.0326987
0.00851544,0.0330368,0.740384,0.0326987
0.00851544,0.0330368,0.740384,0.0326987
0.00851544,0.0330368,0.740384,0.0326987
0.00526073,0.0390053,0.921115,0.0170252
0.00526073,0.0390053,0.921115,0.0170252
0.00526073,0.0390053,0.921115,0.0170252
0.00526073,0.0390053,0.921115,0.0170252
0.0101542,0.0301991,1.01792,0.0143332
0.0101542,0.0301991,1.01792,0.0143332
0.0101542,0.0301991,1.01792,0.0143332
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0130441,0.0241593,0.707995,0.0210518
0.0174114,0.0255915,0.261668,0.0338489
0.0174114,0.0255915,0.261668,0.0338489
0.0238422,0.0198445,0.188509,0.0356619
0.0238422,0.0198445,0.188509,0.0356619
0.0238422,0.0198445,0.188509,0.0356619
0.0238422,0.0198445,0.188509,0.0356619
0.0238422,0.0198445,0.188509,0.0356619
0.0238422,0.0198445,0.188509,0.0356619
0.0238422,0.0198445,0.188509,0.0356619
0.0238422,0.0198445,0.188509,0.0356619
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0295478,0.0225347,0.157492,0.0290908
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.0221324,0.0282168,0.442309,0.0141211
0.029412,0.0187593,0.192094,0.012181
0.029412,0.0187593,0.192094,0.012181
0.029412,0.0187593,0.192094,0.012181
0.029412,0.0187593,0.192094,0.012181
0.029412,0.0187593,0.192094,0.012181
0.029412,0.0187593,0.192094,0.012181
0.029412,0.0187593,0.192094,0.012181
0.0213112,0.0220386,0.168425,0.0461518
0.0132132,0.0260192,0.698006,0.0453249
0.0132132,0.0260192,0.698006,0.0453249
0.0132132,0.0260192,0.698006,0.0453249
0.0132132,0.0260192,0.698006,0.0453249
0.0132132,0.0260192,0.698006,0.0453249
0.0132132,0.0260192,0.698006,0.0453249
0.0132132,0.0260192,0.698006,0.0453249
0.0132132,0.0260192,0.698006,0.0453249
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0111772,0.036521,0.468409,0.0443572
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
0.0152986,0.0317725,0.408722,0.0368374
