a0,a1,beta,epsilon1,epsilon2,epsilon3
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.00852959,0.0204104,1.07643,0.00326949,0.0297057,0.0251525
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
0.0110013,0.022279,0.818429,0.0227475,0.0227898,0.0412336
