a0,a1,beta
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.736292,0.00581999,6.79726
0.367792,0.00499205,5.59516
0.367792,0.00499205,5.59516
0.367792,0.00499205,5.59516
0.367792,0.00499205,5.59516
0.367792,0.00499205,5.59516
0.498385,0.00150795,7.45485
0.498385,0.00150795,7.45485
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.336899,0.00235495,5.42283
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.340373,0.00277596,7.4582
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
0.534974,0.00154624,7.40836
