a0,a1,beta,
1.88241,3.88331,1.52281,1.62765
1.62765,3.8641,1.51387,1.62765
1.62765,3.8641,1.51387,1.62765
1.62765,3.8641,1.51387,1.62765
1.62765,3.8641,1.51387,1.62765
1.62765,3.8641,1.51387,1.82267
1.82267,3.04842,1.59381,1.82267
1.82267,3.04842,1.59381,1.82267
1.82267,3.04842,1.59381,1.82267
1.82267,3.04842,1.59381,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.13544
2.13544,3.2103,1.61563,2.61568
2.61568,3.16913,1.68103,2.61568
2.61568,3.16913,1.68103,2.61568
2.61568,3.16913,1.68103,2.61568
2.61568,3.16913,1.68103,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.4056
2.4056,2.35686,1.57729,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,2.38784
2.38784,2.43899,1.60703,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,1.93296
1.93296,2.35931,1.47481,2.50224
2.50224,1.75212,1.56234,2.50224
2.50224,1.75212,1.56234,3.06186
3.06186,0.760942,1.54815,3.06186
3.06186,0.760942,1.54815,3.06186
3.06186,0.760942,1.54815,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.65365
2.65365,0.0419159,1.46144,2.4279
2.4279,0.200274,1.44134,2.4279
2.4279,0.200274,1.44134,2.4279
2.4279,0.200274,1.44134,2.4279
2.4279,0.200274,1.44134,2.4279
2.4279,0.200274,1.44134,2.4279
2.4279,0.200274,1.44134,2.85515
2.85515,0.309704,1.52672,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.24848
3.24848,0.744689,1.56065,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,3.29656
3.29656,0.620351,1.49821,4.04139
4.04139,0.247422,1.56995,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,3.6001
3.6001,0.436099,1.60295,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.62559
2.62559,0.681691,1.49466,2.69783
2.69783,0.595468,1.48977,2.69783
2.69783,0.595468,1.48977,2.69783
2.69783,0.595468,1.48977,2.69783
2.69783,0.595468,1.48977,2.69783
2.69783,0.595468,1.48977,2.69783
2.69783,0.595468,1.48977,2.69783
2.69783,0.595468,1.48977,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
2.2371,1.09386,1.48206,2.2371
