a0,a1,beta,epsilon,delta
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.0104587,0.0665043,0.197118,0.0189927,0.474877
0.00494961,0.0607237,0.382364,0.0222122,0.382243
0.00494961,0.0607237,0.382364,0.0222122,0.382243
0.00494961,0.0607237,0.382364,0.0222122,0.382243
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00304088,0.0424229,0.584782,0.0327508,0.398328
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
0.00635164,0.0371167,0.73066,0.0257278,0.342362
