a0,a1,beta,tilde_beta,delta
0.0555782,0.0519534,1.38222,3.01183,1.07182
0.0518349,0.0636788,1.49395,2.92478,0.928328
0.0335901,0.0919107,1.32568,2.55432,0.894781
0.0335901,0.0919107,1.32568,2.55432,0.894781
0.0577962,0.0281085,1.31036,2.65995,0.855692
0.0577962,0.0281085,1.31036,2.65995,0.855692
0.0577962,0.0281085,1.31036,2.65995,0.855692
0.0577962,0.0281085,1.31036,2.65995,0.855692
0.0577962,0.0281085,1.31036,2.65995,0.855692
0.0716288,0.0524036,1.39955,2.85507,0.64859
0.0716288,0.0524036,1.39955,2.85507,0.64859
0.0716288,0.0524036,1.39955,2.85507,0.64859
0.0716288,0.0524036,1.39955,2.85507,0.64859
0.0716288,0.0524036,1.39955,2.85507,0.64859
0.0716288,0.0524036,1.39955,2.85507,0.64859
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0757476,0.0197737,1.45442,2.5179,0.660281
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0612038,0.0211546,1.25054,2.40171,0.712268
0.0702892,0.0247602,1.30535,2.30777,0.650478
0.0702892,0.0247602,1.30535,2.30777,0.650478
0.0702892,0.0247602,1.30535,2.30777,0.650478
0.0702892,0.0247602,1.30535,2.30777,0.650478
0.0702892,0.0247602,1.30535,2.30777,0.650478
0.0702892,0.0247602,1.30535,2.30777,0.650478
0.0660968,0.0105167,1.25506,2.44166,0.741878
0.0660968,0.0105167,1.25506,2.44166,0.741878
0.0660968,0.0105167,1.25506,2.44166,0.741878
0.0660968,0.0105167,1.25506,2.44166,0.741878
0.0660968,0.0105167,1.25506,2.44166,0.741878
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
0.0696284,0.00218274,1.21936,2.46659,0.712945
